TractFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
36081084500,5318,20.7,24.3,9.6,35.8,80.4,6.4,8.6,8.8,77.4,83.1,51.0,7.4,21.7,21.7,17.6,49.7,18.3,39.7,4.3,42.9,75.2,12.9,21.0,70.8,16.3,44.0,4.9,21.7
36081084601,2730,17.0,19.7,17.0,26.8,71.4,5.4,9.5,5.6,74.0,83.4,59.0,5.7,28.3,28.1,16.9,63.9,10.6,32.1,2.8,31.7,77.4,13.0,22.8,77.7,12.4,41.6,2.9,13.4
36081084602,1053,20.3,19.5,15.2,29.3,69.7,4.5,10.6,5.9,74.2,80.5,53.7,6.4,25.6,23.7,20.7,55.3,12.5,31.5,3.3,38.3,78.5,16.1,29.6,80.2,14.7,44.1,3.3,18.0
36081084900,7642,23.4,17.6,9.7,29.6,73.8,3.5,7.9,6.4,72.4,77.5,38.8,6.0,17.3,18.0,22.5,38.4,16.8,36.1,3.5,46.5,75.2,15.1,20.7,67.0,16.4,49.1,3.7,25.9
36081085300,5764,17.8,18.2,9.2,29.6,77.4,4.4,7.1,6.3,75.2,82.3,46.4,5.1,21.0,22.3,17.1,49.5,16.1,37.3,3.3,40.5,74.8,11.7,16.0,66.6,13.5,46.0,3.4,17.7
36081085500,6649,18.4,18.4,10.8,28.8,76.0,4.6,7.5,6.0,74.8,82.6,49.9,5.1,22.7,23.8,16.3,53.7,15.0,36.1,3.2,38.7,75.7,11.9,18.3,70.0,13.3,44.0,3.2,16.0
36081085700,5953,19.5,19.5,10.1,30.7,76.9,4.8,7.5,7.1,74.7,81.5,46.1,5.8,20.7,20.6,17.7,47.6,16.2,37.2,3.6,41.2,75.1,12.5,18.8,68.7,14.6,45.4,3.8,20.7
36081085900,5873,18.0,18.2,10.9,28.4,75.2,4.5,7.5,6.1,74.2,81.6,50.2,5.3,24.0,25.0,17.5,54.8,14.6,35.9,3.1,38.9,75.1,12.2,17.4,68.8,13.4,44.5,3.3,16.1
36081086100,2370,17.0,18.4,11.1,28.0,75.8,4.6,7.5,5.8,74.7,82.4,50.2,5.1,23.3,24.1,16.3,54.7,14.2,36.0,3.1,37.5,75.6,11.8,17.1,68.8,12.9,44.0,3.1,16.1
36081086300,7277,19.5,17.8,10.8,28.4,75.1,4.2,7.6,5.9,74.1,81.0,48.3,5.2,22.2,23.4,17.8,51.6,14.9,35.6,3.1,40.1,75.5,12.5,18.1,68.6,13.6,45.1,3.2,17.1
36081086400,2634,18.4,18.4,17.5,26.0,69.4,4.7,9.2,5.2,72.6,82.1,57.3,5.4,26.2,27.4,17.0,61.1,11.1,31.8,2.8,33.1,78.3,13.6,25.3,78.4,12.7,41.2,2.7,13.9
