tract2010,Bulky Items,Dead Animal Removal,Electronic Waste,Feedback,Graffiti Removal,Homeless Encampment,Illegal Dumping Pickup,Metal/Household Appliances,Multiple Streetlight Issue,Other,Report Water Waste,Single Streetlight Issue
06037240300,2824,147,206,0,1301,111,1043,405,8,41,2,18
06037240401,2530,123,181,0,704,35,718,346,3,41,1,16
06037240402,1946,132,185,0,360,34,367,333,8,36,0,19
06037240500,2892,198,242,0,837,144,1248,414,8,46,0,45
06037240600,2413,220,192,0,896,104,907,381,25,50,0,28
06037240700,2935,252,279,1,1770,99,824,473,15,73,2,49
06037240800,1992,191,178,0,516,54,448,272,28,32,0,71
06037240900,3107,176,270,0,894,58,657,433,32,45,5,44
06037241001,2192,160,193,2,613,48,615,391,10,68,1,20
06037241002,1935,117,160,0,179,22,300,326,28,28,2,23
06037241110,1514,95,142,0,257,4,360,236,6,13,5,15
06037241120,2259,200,204,1,704,40,704,301,19,48,2,32
06037241201,1565,96,148,2,284,17,369,259,15,12,0,22
06037241202,2673,179,245,3,1021,67,873,437,31,125,0,55
06037241300,986,93,103,0,90,76,291,180,2,16,0,12
06037241400,1763,133,142,0,386,28,732,233,8,36,3,17
06037242000,1527,151,122,2,628,19,369,267,9,33,1,12
06037242100,36,27,8,0,32,4,20,9,3,6,0,2
06037242200,2183,207,157,6,728,49,618,315,23,75,1,34
06037242300,1618,145,124,0,1458,40,397,221,14,44,0,30
06037242600,277,82,19,0,136,11,75,66,7,20,0,10
06037242700,2437,176,182,1,1735,117,762,385,31,73,1,71
06037243000,2589,207,214,0,1375,70,711,341,8,60,0,20
06037243100,1508,126,109,3,499,80,423,246,9,37,1,17
06037261101,963,84,89,0,55,3,51,303,35,61,8,133
06037261102,856,62,100,0,15,2,43,280,22,66,7,125
06037261200,1287,100,129,1,30,3,84,425,29,72,1,34
06037262100,712,67,69,2,21,10,34,221,43,67,5,157
06037262200,968,82,108,0,45,49,78,311,63,55,17,200
06037262301,482,65,44,0,32,8,23,166,14,35,4,21
06037262302,616,29,58,0,15,20,26,183,36,37,5,119
06037262303,621,40,59,0,10,0,21,208,17,39,3,65
06037262400,592,32,47,0,73,0,16,194,19,25,2,62
06037262501,1097,37,75,0,21,2,27,341,7,46,6,6
06037262601,1058,30,87,0,11,0,11,359,6,37,2,37
06037262604,1861,84,151,0,53,11,46,563,23,59,4,167
06037262704,938,75,72,0,85,2,42,287,11,47,2,17
06037262706,912,38,84,1,231,5,48,298,12,79,7,48
06037262802,703,62,53,1,105,6,45,251,18,91,9,21
06037264000,732,50,63,0,10,4,32,230,5,44,4,32
06037264102,561,9,36,0,11,2,37,94,4,22,6,6
06037264103,776,5,43,2,13,92,84,119,0,31,119,0
06037264301,1484,16,57,1,47,323,136,243,3,54,167,15
06037264302,1590,49,91,1,124,25,160,272,6,44,13,24
06037265100,286,36,36,0,27,1,21,89,11,10,5,36
06037265201,285,17,21,0,3,5,5,80,2,6,3,9
06037265202,411,15,25,1,39,215,29,104,7,43,4,42
06037265301,4,2,0,0,7,12,7,0,1,4,0,6
06037265303,867,2,32,1,0,0,316,154,1,10,1,6
06037265304,637,3,15,0,4,3,243,81,5,10,2,6
06037265305,730,7,21,0,13,11,166,125,4,13,1,7
06037265410,492,30,33,0,1,6,22,167,6,40,3,18
06037265420,661,28,56,0,8,8,44,138,91,32,13,178
06037265510,1313,17,53,2,144,63,111,225,31,39,4,28
06037265520,1813,45,97,0,255,395,247,318,13,63,6,70
06037265601,1213,36,72,0,41,11,92,257,49,28,7,44
06037265602,475,26,30,0,5,2,26,104,34,8,5,45
06037265700,1334,43,103,1,68,18,102,325,11,30,2,25
06037267100,2274,60,126,2,86,115,164,409,89,70,13,152
06037267200,2436,103,134,5,596,325,282,432,92,84,17,235
06037267300,1383,18,51,0,323,145,264,178,7,62,2,16
06037267402,1593,18,71,0,219,32,246,233,1,50,11,12
06037267403,1265,11,44,0,51,5,120,158,1,19,1,4
06037267404,765,5,19,2,134,10,52,78,0,21,1,3
06037267501,2121,36,106,2,769,47,199,215,3,121,32,9
